grupo,month,weekday,num_llamadas
Borderline,2019-08,Monday,4
Borderline,2019-08,Tuesday,6
Borderline,2019-08,Wednesday,11
Borderline,2019-08,Thursday,12
Borderline,2019-08,Friday,13
Borderline,2019-08,Saturday,4
Borderline,2019-08,Sunday,1
Borderline,2019-09,Monday,86
Borderline,2019-09,Tuesday,74
Borderline,2019-09,Wednesday,68
Borderline,2019-09,Thursday,73
Borderline,2019-09,Friday,77
Borderline,2019-09,Saturday,52
Borderline,2019-09,Sunday,49
Borderline,2019-10,Monday,200
Borderline,2019-10,Tuesday,218
Borderline,2019-10,Wednesday,234
Borderline,2019-10,Thursday,251
Borderline,2019-10,Friday,180
Borderline,2019-10,Saturday,110
Borderline,2019-10,Sunday,83
Borderline,2019-11,Monday,302
Borderline,2019-11,Tuesday,339
Borderline,2019-11,Wednesday,330
Borderline,2019-11,Thursday,346
Borderline,2019-11,Friday,314
Borderline,2019-11,Saturday,151
Borderline,2019-11,Sunday,143
Eficientes,2019-08,Monday,184
Eficientes,2019-08,Tuesday,207
Eficientes,2019-08,Wednesday,199
Eficientes,2019-08,Thursday,233
Eficientes,2019-08,Friday,270
Eficientes,2019-08,Saturday,77
Eficientes,2019-08,Sunday,25
Eficientes,2019-09,Monday,1202
Eficientes,2019-09,Tuesday,955
Eficientes,2019-09,Wednesday,953
Eficientes,2019-09,Thursday,990
Eficientes,2019-09,Friday,963
Eficientes,2019-09,Saturday,225
Eficientes,2019-09,Sunday,203
Eficientes,2019-10,Monday,1715
Eficientes,2019-10,Tuesday,2059
Eficientes,2019-10,Wednesday,2073
Eficientes,2019-10,Thursday,2144
Eficientes,2019-10,Friday,1704
Eficientes,2019-10,Saturday,450
Eficientes,2019-10,Sunday,322
Eficientes,2019-11,Monday,2055
Eficientes,2019-11,Tuesday,2519
Eficientes,2019-11,Wednesday,2505
Eficientes,2019-11,Thursday,2530
Eficientes,2019-11,Friday,2357
Eficientes,2019-11,Saturday,635
Eficientes,2019-11,Sunday,395
Ineficientes,2019-08,Monday,4
Ineficientes,2019-08,Tuesday,1
Ineficientes,2019-08,Wednesday,10
Ineficientes,2019-08,Thursday,5
Ineficientes,2019-08,Friday,11
Ineficientes,2019-08,Saturday,3
Ineficientes,2019-08,Sunday,1
Ineficientes,2019-09,Monday,22
Ineficientes,2019-09,Tuesday,21
Ineficientes,2019-09,Wednesday,35
Ineficientes,2019-09,Thursday,15
Ineficientes,2019-09,Friday,19
Ineficientes,2019-09,Saturday,7
Ineficientes,2019-09,Sunday,5
Ineficientes,2019-10,Monday,120
Ineficientes,2019-10,Tuesday,132
Ineficientes,2019-10,Wednesday,150
Ineficientes,2019-10,Thursday,164
Ineficientes,2019-10,Friday,106
Ineficientes,2019-10,Saturday,36
Ineficientes,2019-10,Sunday,29
Ineficientes,2019-11,Monday,184
Ineficientes,2019-11,Tuesday,233
Ineficientes,2019-11,Wednesday,229
Ineficientes,2019-11,Thursday,236
Ineficientes,2019-11,Friday,212
Ineficientes,2019-11,Saturday,81
Ineficientes,2019-11,Sunday,82
